,frekuensi_gempa,seismic_density,mag_p95,mag_std,b_value,depth_std,depth_skew,shallow_ratio,event_concentration,centroid_lat,centroid_lon
frekuensi_gempa,1.0,0.4382580614591282,0.10407164844489161,0.13893938113528623,-0.22160498836961157,-0.06880980750314869,0.3875605303476028,0.13664521060020451,-0.23187629268540103,-0.04222218450925717,0.2015413771825121
seismic_density,0.4382580614591282,1.0,0.03731051186208289,0.030577070280530538,-0.06677894538612325,-0.020205366076715657,0.16350091825648985,0.04897054944774125,-0.0682899051057603,0.04058241321111568,0.06745447193896452
mag_p95,0.10407164844489161,0.03731051186208289,1.0,0.5749951452700657,-0.28918601051445825,0.45470985552965076,0.1776450147000657,0.43186039341368987,0.011082739737281687,-0.02883647973658101,0.7996431591920375
mag_std,0.13893938113528623,0.030577070280530538,0.5749951452700657,1.0,-0.5007385471822628,0.31013007244271795,0.2860795162193571,0.37639243862011196,-0.4732485876318228,-0.1210082831051316,0.49463622958978326
b_value,-0.22160498836961157,-0.06677894538612325,-0.28918601051445825,-0.5007385471822628,1.0,-0.08267047215497972,-0.2779373803391526,-0.19952147488694327,0.37140109376630576,0.04062034489572845,-0.22608645119895937
depth_std,-0.06880980750314869,-0.020205366076715657,0.45470985552965076,0.31013007244271795,-0.08267047215497972,1.0,-0.059847354566126235,-0.128228841716004,-0.1676383308236087,-0.00583077537897188,0.23081775152128786
depth_skew,0.3875605303476028,0.16350091825648985,0.1776450147000657,0.2860795162193571,-0.2779373803391526,-0.059847354566126235,1.0,0.4972153811512783,-0.3328818973497547,-0.017985899881550863,0.27989980178456514
shallow_ratio,0.13664521060020451,0.04897054944774125,0.43186039341368987,0.37639243862011196,-0.19952147488694327,-0.128228841716004,0.4972153811512783,1.0,-0.01659117352305638,-0.1342436286834739,0.5612558399378
event_concentration,-0.23187629268540103,-0.0682899051057603,0.011082739737281687,-0.4732485876318228,0.37140109376630576,-0.1676383308236087,-0.3328818973497547,-0.01659117352305638,1.0,-0.003962129579035306,0.060598920936761606
centroid_lat,-0.04222218450925717,0.04058241321111568,-0.02883647973658101,-0.1210082831051316,0.04062034489572845,-0.00583077537897188,-0.017985899881550863,-0.1342436286834739,-0.003962129579035306,1.0,-0.27320308346409106
centroid_lon,0.2015413771825121,0.06745447193896452,0.7996431591920375,0.49463622958978326,-0.22608645119895937,0.23081775152128786,0.27989980178456514,0.5612558399378,0.060598920936761606,-0.27320308346409106,1.0
