weight,algorithm,distance,k,full_scheme,sse,silhouette,dbi,chi,balance
W1_original,KMeans,euclidean,3,W1_original_KMeans_euclidean_k3,48.1286,0.4749,0.684,269.2713,0.0833
W1_original,KMeans,euclidean,4,W1_original_KMeans_euclidean_k4,27.7398,0.5342,0.6561,432.8449,0.0946
W1_original,KMeans,euclidean,5,W1_original_KMeans_euclidean_k5,23.1853,0.4031,0.9191,412.0309,0.1075
W1_original,KMeans,manhattan,3,W1_original_KMeans_manhattan_k3,270.2976,0.4786,0.834,247.2122,0.0842
W1_original,KMeans,manhattan,4,W1_original_KMeans_manhattan_k4,229.3185,0.3721,0.8217,344.2777,0.117
W1_original,KMeans,manhattan,5,W1_original_KMeans_manhattan_k5,209.6059,0.2936,1.1306,372.3394,0.1784
W1_original,KMedoids,euclidean,3,W1_original_KMedoids_euclidean_k3,55.4677,0.4442,0.7397,265.7112,0.0866
W1_original,KMedoids,euclidean,4,W1_original_KMedoids_euclidean_k4,32.4164,0.5,0.6496,409.8308,0.0965
W1_original,KMedoids,euclidean,5,W1_original_KMedoids_euclidean_k5,28.0192,0.322,0.9481,373.3583,0.1299
W1_original,KMedoids,manhattan,3,W1_original_KMedoids_manhattan_k3,284.8047,0.5065,0.68,253.8761,0.0799
W1_original,KMedoids,manhattan,4,W1_original_KMedoids_manhattan_k4,243.5041,0.3618,0.8469,329.5881,0.1213
W1_original,KMedoids,manhattan,5,W1_original_KMedoids_manhattan_k5,222.4708,0.3144,0.9763,352.3822,0.146
W2_optimized,KMeans,euclidean,3,W2_optimized_KMeans_euclidean_k3,53.5432,0.5141,0.6297,302.5221,0.0833
W2_optimized,KMeans,euclidean,4,W2_optimized_KMeans_euclidean_k4,32.7973,0.5435,0.6698,433.5985,0.0946
W2_optimized,KMeans,euclidean,5,W2_optimized_KMeans_euclidean_k5,26.8474,0.4177,0.7579,424.0067,0.1033
W2_optimized,KMeans,manhattan,3,W2_optimized_KMeans_manhattan_k3,272.3289,0.3466,0.9032,245.602,0.1046
W2_optimized,KMeans,manhattan,4,W2_optimized_KMeans_manhattan_k4,226.443,0.4253,0.717,376.9737,0.1054
W2_optimized,KMeans,manhattan,5,W2_optimized_KMeans_manhattan_k5,205.3359,0.3385,0.9676,378.5987,0.1521
W2_optimized,KMedoids,euclidean,3,W2_optimized_KMedoids_euclidean_k3,60.9506,0.485,0.6834,294.8195,0.0866
W2_optimized,KMedoids,euclidean,4,W2_optimized_KMedoids_euclidean_k4,37.6236,0.5288,0.6291,407.7813,0.0968
W2_optimized,KMedoids,euclidean,5,W2_optimized_KMedoids_euclidean_k5,30.6386,0.3573,0.872,404.5097,0.1381
W2_optimized,KMedoids,manhattan,3,W2_optimized_KMedoids_manhattan_k3,281.4289,0.3457,0.9143,244.6612,0.1077
W2_optimized,KMedoids,manhattan,4,W2_optimized_KMedoids_manhattan_k4,237.8023,0.3912,0.7984,319.9885,0.1187
W2_optimized,KMedoids,manhattan,5,W2_optimized_KMedoids_manhattan_k5,215.5717,0.3318,0.9159,355.7838,0.1564
