,count,mean,std,min,25%,50%,75%,max
frekuensi_gempa,502.0,245.0358565737052,544.4066545314881,0.0,5.25,28.0,209.0,4898.0
seismic_density,502.0,0.16832512710706288,1.1842351071633672,0.0,0.0033147271320851817,0.018576710195630723,0.10380147139104773,25.91939993442804
mag_p95,502.0,4.407356809764343,1.3947639950237072,0.0,4.124294338124999,4.670899277725001,5.0702413136125,6.70951707355
mag_std,502.0,0.6053995818916487,0.31122466890597666,0.0,0.49471944450810723,0.6744780892451903,0.7726971281941853,1.5245797205909586
b_value,502.0,0.5285808548673925,0.5658849339590175,0.160460629884496,0.2650862043752653,0.35440158781342745,0.6294878349091793,9.97006170068756
depth_std,502.0,66.19873516975059,70.72350378826171,0.0,19.99852550705529,46.940413230464955,87.01093065034891,415.0716805565034
depth_skew,502.0,2.4167148216414596,2.9842836137548128,-3.0770300380603484,0.0,1.7320508075688774,3.421200487308549,22.569591772267792
shallow_ratio,502.0,0.6878758249797173,0.3228032344543682,0.0,0.5059516037776908,0.8013605442176871,0.9497231686541737,1.0
event_concentration,502.0,0.14027932172902682,0.25620686732616627,0.0,0.008622645790787385,0.038461538461538464,0.125,1.0
centroid_lat,502.0,-2.951968051845535,3.949711314578643,-10.644797386440677,-6.716529725673731,-3.06911740131666,0.0,5.817412589153847
centroid_lon,502.0,105.86615656328762,30.10397174889748,0.0,102.47210240990245,110.90893840000001,120.1358465707109,140.7401657395349
